LOT_ID,WAFER_ID,PROCESS,PROCESS_STEP,RECIPE,RECIPE_STEP,PARAMETER_NAME,PARAMETER_VALUE,TIME,TYPE
lot_a,wafer1,process,process_step,recipe,1,parameter_name,50.98480547483551,2024-01-01 00:00:00.000,nonfocus
lot_a,wafer1,process,process_step,recipe,1,parameter_name,50.93517035717876,2024-01-01 00:00:00.100,nonfocus
lot_a,wafer1,process,process_step,recipe,1,parameter_name,51.04475075531423,2024-01-01 00:00:00.200,nonfocus
lot_a,wafer1,process,process_step,recipe,1,parameter_name,50.96052628896754,2024-01-01 00:00:00.300,nonfocus
lot_a,wafer1,process,process_step,recipe,1,parameter_name,50.97678368948438,2024-01-01 00:00:00.400,nonfocus
lot_a,wafer1,process,process_step,recipe,1,parameter_name,50.986457724651665,2024-01-01 00:00:00.500,nonfocus
lot_a,wafer1,process,process_step,recipe,1,parameter_name,50.98764364186932,2024-01-01 00:00:00.600,nonfocus
lot_a,wafer1,process,process_step,recipe,1,parameter_name,50.98041233711694,2024-01-01 00:00:00.700,nonfocus
lot_a,wafer1,process,process_step,recipe,1,parameter_name,51.110805269153076,2024-01-01 00:00:00.800,nonfocus
lot_a,wafer1,process,process_step,recipe,1,parameter_name,51.06172319757811,2024-01-01 00:00:00.900,nonfocus
lot_a,wafer1,process,process_step,recipe,1,parameter_name,51.027159014777546,2024-01-01 00:00:01.000,nonfocus
lot_a,wafer1,process,process_step,recipe,1,parameter_name,51.064191323709586,2024-01-01 00:00:01.100,nonfocus
lot_a,wafer1,process,process_step,recipe,1,parameter_name,50.91062574501582,2024-01-01 00:00:01.200,nonfocus
lot_a,wafer1,process,process_step,recipe,1,parameter_name,50.93976374022924,2024-01-01 00:00:01.300,nonfocus
lot_a,wafer1,process,process_step,recipe,1,parameter_name,51.04354288223388,2024-01-01 00:00:01.400,nonfocus
lot_a,wafer1,process,process_step,recipe,1,parameter_name,51.03920443210568,2024-01-01 00:00:01.500,nonfocus
lot_a,wafer1,process,process_step,recipe,1,parameter_name,50.950660961467925,2024-01-01 00:00:01.600,nonfocus
lot_a,wafer1,process,process_step,recipe,1,parameter_name,51.06544510756363,2024-01-01 00:00:01.700,nonfocus
lot_a,wafer1,process,process_step,recipe,1,parameter_name,51.04983013257362,2024-01-01 00:00:01.800,nonfocus
lot_a,wafer1,process,process_step,recipe,1,parameter_name,51.129508097743035,2024-01-01 00:00:01.900,nonfocus
lot_a,wafer1,process,process_step,recipe,1,parameter_name,50.93803543102764,2024-01-01 00:00:02.000,nonfocus
lot_a,wafer1,process,process_step,recipe,1,parameter_name,50.938939789021944,2024-01-01 00:00:02.100,nonfocus
lot_a,wafer1,process,process_step,recipe,1,parameter_name,50.97153686783001,2024-01-01 00:00:02.200,nonfocus
lot_a,wafer1,process,process_step,recipe,1,parameter_name,51.02193156885108,2024-01-01 00:00:02.300,nonfocus
lot_a,wafer1,process,process_step,recipe,1,parameter_name,50.995570177274594,2024-01-01 00:00:02.400,nonfocus
lot_a,wafer1,process,process_step,recipe,1,parameter_name,50.97679851592012,2024-01-01 00:00:02.500,nonfocus
lot_a,wafer1,process,process_step,recipe,1,parameter_name,50.911650370969426,2024-01-01 00:00:02.600,nonfocus
lot_a,wafer1,process,process_step,recipe,1,parameter_name,50.97049544656509,2024-01-01 00:00:02.700,nonfocus
lot_a,wafer1,process,process_step,recipe,1,parameter_name,51.031012477651274,2024-01-01 00:00:02.800,nonfocus
lot_a,wafer1,process,process_step,recipe,1,parameter_name,50.98833960301618,2024-01-01 00:00:02.900,nonfocus
lot_a,wafer1,process,process_step,recipe,1,parameter_name,51.004608478860376,2024-01-01 00:00:03.000,nonfocus
lot_a,wafer1,process,process_step,recipe,1,parameter_name,50.956044603322546,2024-01-01 00:00:03.100,nonfocus
lot_a,wafer1,process,process_step,recipe,1,parameter_name,50.98444487400478,2024-01-01 00:00:03.200,nonfocus
lot_a,wafer1,process,process_step,recipe,1,parameter_name,50.94101852150602,2024-01-01 00:00:03.300,nonfocus
lot_a,wafer1,process,process_step,recipe,1,parameter_name,50.98934836231918,2024-01-01 00:00:03.400,nonfocus
lot_a,wafer1,process,process_step,recipe,1,parameter_name,50.97237270266517,2024-01-01 00:00:03.500,nonfocus
lot_a,wafer1,process,process_step,recipe,1,parameter_name,51.01516189345169,2024-01-01 00:00:03.600,nonfocus
lot_a,wafer1,process,process_step,recipe,1,parameter_name,51.03366820894901,2024-01-01 00:00:03.700,nonfocus
lot_a,wafer1,process,process_step,recipe,1,parameter_name,51.079910233259696,2024-01-01 00:00:03.800,nonfocus
lot_a,wafer1,process,process_step,recipe,1,parameter_name,51.04086125831729,2024-01-01 00:00:03.900,nonfocus
lot_a,wafer1,process,process_step,recipe,1,parameter_name,51.0541972773449,2024-01-01 00:00:04.000,nonfocus
lot_a,wafer1,process,process_step,recipe,1,parameter_name,51.116943955665334,2024-01-01 00:00:04.100,nonfocus
lot_a,wafer1,process,process_step,recipe,1,parameter_name,51.07125344085339,2024-01-01 00:00:04.200,nonfocus
lot_a,wafer1,process,process_step,recipe,1,parameter_name,51.0678681312773,2024-01-01 00:00:04.300,nonfocus
lot_a,wafer1,process,process_step,recipe,1,parameter_name,50.9717937971386,2024-01-01 00:00:04.400,nonfocus
lot_a,wafer1,process,process_step,recipe,1,parameter_name,50.88122270183371,2024-01-01 00:00:04.500,nonfocus
lot_a,wafer1,process,process_step,recipe,1,parameter_name,51.01612284975318,2024-01-01 00:00:04.600,nonfocus
lot_a,wafer1,process,process_step,recipe,1,parameter_name,50.96981775037709,2024-01-01 00:00:04.700,nonfocus
